"Date","Price","Open","High","Low","Vol.","Change %"
"27-11-2025","2,480.00","2,480.00","2,480.00","2,480.00","","3.29%"
"26-11-2025","2,401.00","2,401.00","2,401.00","2,401.00","","3.98%"
"25-11-2025","2,309.00","2,309.00","2,309.00","2,309.00","","0.61%"
"24-11-2025","2,295.00","2,295.00","2,295.00","2,295.00","","0.88%"
"21-11-2025","2,275.00","2,275.00","2,275.00","2,275.00","","0.22%"
"20-11-2025","2,270.00","2,270.00","2,270.00","2,270.00","","0.44%"
"19-11-2025","2,260.00","2,260.00","2,260.00","2,260.00","","1.99%"
"18-11-2025","2,216.00","2,216.00","2,216.00","2,216.00","","2.93%"
"17-11-2025","2,153.00","2,153.00","2,153.00","2,153.00","","1.32%"
"14-11-2025","2,125.00","2,125.00","2,125.00","2,125.00","","2.31%"
"13-11-2025","2,077.00","2,077.00","2,077.00","2,077.00","","2.32%"
"12-11-2025","2,030.00","2,030.00","2,030.00","2,030.00","","-2.03%"
"11-11-2025","2,072.00","2,072.00","2,072.00","2,072.00","","-0.58%"
"10-11-2025","2,084.00","2,084.00","2,084.00","2,084.00","","-0.95%"
"07-11-2025","2,104.00","2,104.00","2,104.00","2,104.00","","1.99%"
"06-11-2025","2,063.00","2,063.00","2,063.00","2,063.00","","3.00%"
"05-11-2025","2,003.00","2,003.00","2,003.00","2,003.00","","2.30%"
"04-11-2025","1,958.00","1,958.00","1,958.00","1,958.00","","0.67%"
"03-11-2025","1,945.00","1,945.00","1,945.00","1,945.00","","-1.07%"
"31-10-2025","1,966.00","1,966.00","1,966.00","1,966.00","","-0.86%"
"30-10-2025","1,983.00","1,983.00","1,983.00","1,983.00","","1.12%"
"29-10-2025","1,961.00","1,961.00","1,961.00","1,961.00","","0.56%"
"28-10-2025","1,950.00","1,950.00","1,950.00","1,950.00","","-1.32%"
"27-10-2025","1,976.00","1,976.00","1,976.00","1,976.00","","-0.75%"
"24-10-2025","1,991.00","1,991.00","1,991.00","1,991.00","","-3.21%"
"23-10-2025","2,057.00","2,057.00","2,057.00","2,057.00","","-1.77%"
"21-10-2025","2,094.00","2,094.00","2,094.00","2,094.00","","1.11%"
"20-10-2025","2,071.00","2,069.00","2,071.00","2,069.00","","0.10%"
"17-10-2025","2,069.00","2,069.00","2,069.00","2,069.00","","1.12%"
"16-10-2025","2,046.00","2,046.00","2,046.00","2,046.00","","2.45%"
"15-10-2025","1,997.00","1,997.00","1,997.00","1,997.00","","-1.24%"
"14-10-2025","2,022.00","2,022.00","2,022.00","2,022.00","","-5.69%"
"13-10-2025","2,144.00","2,144.00","2,144.00","2,144.00","","10.74%"
"10-10-2025","1,936.00","1,936.00","1,936.00","1,936.00","","0.68%"
"09-10-2025","1,923.00","1,923.00","1,923.00","1,923.00","","-2.04%"
"08-10-2025","1,963.00","1,963.00","1,963.00","1,963.00","","0.82%"
"07-10-2025","1,947.00","1,947.00","1,947.00","1,947.00","","0.78%"
"06-10-2025","1,932.00","1,932.00","1,932.00","1,932.00","","1.63%"
"03-10-2025","1,901.00","1,901.00","1,901.00","1,901.00","","-0.42%"
"02-10-2025","1,909.00","1,909.00","1,909.00","1,909.00","","-3.59%"
"01-10-2025","1,980.00","1,980.00","1,980.00","1,980.00","","-7.22%"
"30-09-2025","2,134.00","2,134.00","2,134.00","2,134.00","","-3.87%"
"29-09-2025","2,220.00","2,220.00","2,220.00","2,220.00","","-1.73%"
"26-09-2025","2,259.00","2,259.00","2,259.00","2,259.00","","-0.31%"
"25-09-2025","2,266.00","2,266.00","2,266.00","2,266.00","","1.16%"
"24-09-2025","2,240.00","2,240.00","2,240.00","2,240.00","","1.82%"
"23-09-2025","2,200.00","2,200.00","2,200.00","2,200.00","","1.29%"
"22-09-2025","2,172.00","2,172.00","2,172.00","2,172.00","","-1.41%"
"19-09-2025","2,203.00","2,203.00","2,203.00","2,203.00","","-0.09%"
"18-09-2025","2,205.00","2,205.00","2,205.00","2,205.00","","1.15%"
"17-09-2025","2,180.00","2,180.00","2,180.00","2,180.00","","1.21%"
"16-09-2025","2,154.00","2,154.00","2,154.00","2,154.00","","0.05%"
"15-09-2025","2,153.00","2,153.00","2,153.00","2,153.00","","1.27%"
"12-09-2025","2,126.00","2,126.00","2,126.00","2,126.00","","0.71%"
"11-09-2025","2,111.00","2,111.00","2,111.00","2,111.00","","-0.05%"
"10-09-2025","2,112.00","2,112.00","2,112.00","2,112.00","","1.59%"
"09-09-2025","2,079.00","2,079.00","2,079.00","2,079.00","","2.97%"
"08-09-2025","2,019.00","2,019.00","2,019.00","2,019.00","","2.02%"
"05-09-2025","1,979.00","1,979.00","1,979.00","1,979.00","","0.82%"
"04-09-2025","1,963.00","1,963.00","1,963.00","1,963.00","","1.19%"
"03-09-2025","1,940.00","1,940.00","1,940.00","1,940.00","","-2.32%"
"02-09-2025","1,986.00","1,986.00","1,986.00","1,986.00","","-1.88%"
"01-09-2025","2,024.00","2,024.00","2,024.00","2,024.00","","-0.05%"
"29-08-2025","2,025.00","2,025.00","2,025.00","2,025.00","","0.40%"
"28-08-2025","2,017.00","2,017.00","2,017.00","2,017.00","","-1.42%"
"27-08-2025","2,046.00","2,046.00","2,046.00","2,046.00","","0.24%"
"26-08-2025","2,041.00","2,041.00","2,041.00","2,041.00","","4.99%"
"22-08-2025","1,944.00","1,944.00","1,944.00","1,944.00","","2.69%"
"21-08-2025","1,893.00","1,893.00","1,893.00","1,893.00","","-1.76%"
"20-08-2025","1,927.00","1,927.00","1,927.00","1,927.00","","-1.88%"
"19-08-2025","1,964.00","1,964.00","1,964.00","1,964.00","","-2.87%"
"18-08-2025","2,022.00","2,022.00","2,022.00","2,022.00","","-1.08%"
"15-08-2025","2,044.00","2,044.00","2,044.00","2,044.00","","0.25%"
"14-08-2025","2,039.00","2,039.00","2,039.00","2,039.00","","0.69%"
"13-08-2025","2,025.00","2,025.00","2,025.00","2,025.00","","0.40%"
"12-08-2025","2,017.00","2,017.00","2,017.00","2,017.00","","-1.03%"
"11-08-2025","2,038.00","2,038.00","2,038.00","2,038.00","","-0.63%"
"08-08-2025","2,051.00","2,051.00","2,051.00","2,051.00","","2.14%"
"07-08-2025","2,008.00","2,008.00","2,008.00","2,008.00","","0.70%"
"06-08-2025","1,994.00","1,994.00","1,994.00","1,994.00","","3.80%"
"05-08-2025","1,921.00","1,921.00","1,921.00","1,921.00","","-2.49%"
"04-08-2025","1,970.00","1,970.00","1,970.00","1,970.00","","-2.38%"
"01-08-2025","2,018.00","2,018.00","2,018.00","2,018.00","","0.75%"
"31-07-2025","2,003.00","2,003.00","2,003.00","2,003.00","","0.40%"
"30-07-2025","1,995.00","1,995.00","1,995.00","1,995.00","","-5.41%"
"29-07-2025","2,109.00","2,109.00","2,109.00","2,109.00","","-5.26%"
"28-07-2025","2,226.00","2,226.00","2,226.00","2,226.00","","-1.37%"
"25-07-2025","2,257.00","2,257.00","2,257.00","2,257.00","","-0.04%"
"24-07-2025","2,258.00","2,258.00","2,258.00","2,258.00","","6.51%"
"23-07-2025","2,120.00","2,120.00","2,120.00","2,120.00","","4.18%"
"22-07-2025","2,035.00","2,035.00","2,035.00","2,035.00","","0.94%"
"21-07-2025","2,016.00","2,016.00","2,016.00","2,016.00","","-1.75%"
"18-07-2025","2,052.00","2,052.00","2,052.00","2,052.00","","1.08%"
"17-07-2025","2,030.00","2,030.00","2,030.00","2,030.00","","6.51%"
"16-07-2025","1,906.00","1,906.00","1,906.00","1,906.00","","2.14%"
"15-07-2025","1,866.00","1,866.00","1,866.00","1,866.00","","4.66%"
"14-07-2025","1,783.00","1,783.00","1,783.00","1,783.00","","7.22%"
"11-07-2025","1,663.00","1,663.00","1,663.00","1,663.00","","13.52%"
"10-07-2025","1,465.00","1,465.00","1,465.00","1,465.00","","2.95%"
"09-07-2025","1,423.00","1,423.00","1,423.00","1,423.00","","-0.56%"
"08-07-2025","1,431.00","1,431.00","1,431.00","1,431.00","","-0.35%"
"07-07-2025","1,436.00","1,436.00","1,436.00","1,436.00","","0.00%"
"04-07-2025","1,436.00","1,436.00","1,436.00","1,436.00","","0.14%"
"03-07-2025","1,434.00","1,434.00","1,434.00","1,434.00","","-0.62%"
"02-07-2025","1,443.00","1,443.00","1,443.00","1,443.00","","-1.03%"
"01-07-2025","1,458.00","1,458.00","1,458.00","1,458.00","","-2.08%"
"30-06-2025","1,489.00","1,489.00","1,489.00","1,489.00","","-2.10%"
"27-06-2025","1,521.00","1,521.00","1,521.00","1,521.00","","-2.06%"
"26-06-2025","1,553.00","1,553.00","1,553.00","1,553.00","","-6.73%"
"25-06-2025","1,665.00","1,665.00","1,665.00","1,665.00","","-0.95%"
"24-06-2025","1,681.00","1,681.00","1,681.00","1,681.00","","0.42%"
"23-06-2025","1,674.00","1,674.00","1,674.00","1,674.00","","-0.89%"
"20-06-2025","1,689.00","1,689.00","1,689.00","1,689.00","","-3.54%"
"19-06-2025","1,751.00","1,751.00","1,751.00","1,751.00","","-6.56%"
"18-06-2025","1,874.00","1,874.00","1,874.00","1,874.00","","-4.00%"
"17-06-2025","1,952.00","1,952.00","1,952.00","1,952.00","","-1.16%"
"16-06-2025","1,975.00","1,975.00","1,975.00","1,975.00","","0.36%"
"13-06-2025","1,968.00","1,968.00","1,968.00","1,968.00","","3.36%"
"12-06-2025","1,904.00","1,904.00","1,904.00","1,904.00","","9.55%"
"11-06-2025","1,738.00","1,738.00","1,738.00","1,738.00","","3.45%"
"10-06-2025","1,680.00","1,680.00","1,680.00","1,680.00","","-0.65%"
"09-06-2025","1,691.00","1,691.00","1,691.00","1,691.00","","3.55%"
"06-06-2025","1,633.00","1,633.00","1,633.00","1,633.00","","0.43%"
"05-06-2025","1,626.00","1,626.00","1,626.00","1,626.00","","9.20%"
"04-06-2025","1,489.00","1,489.00","1,489.00","1,489.00","","4.13%"
"03-06-2025","1,430.00","1,430.00","1,430.00","1,430.00","","0.56%"
"02-06-2025","1,422.00","1,422.00","1,422.00","1,422.00","","0.28%"
"30-05-2025","1,418.00","1,418.00","1,418.00","1,418.00","","4.80%"
"29-05-2025","1,353.00","1,353.00","1,353.00","1,353.00","","3.84%"
"28-05-2025","1,303.00","1,303.00","1,303.00","1,303.00","","0.54%"
"27-05-2025","1,296.00","1,296.00","1,296.00","1,296.00","","-3.28%"
"23-05-2025","1,340.00","1,340.00","1,340.00","1,340.00","","-0.07%"
"22-05-2025","1,341.00","1,341.00","1,341.00","1,341.00","","0.30%"
"21-05-2025","1,337.00","1,337.00","1,337.00","1,337.00","","-0.22%"
"20-05-2025","1,340.00","1,340.00","1,340.00","1,340.00","","-0.52%"
"19-05-2025","1,347.00","1,347.00","1,347.00","1,347.00","","-2.95%"
"16-05-2025","1,388.00","1,388.00","1,388.00","1,388.00","","6.36%"
"15-05-2025","1,305.00","1,305.00","1,305.00","1,305.00","","3.00%"
"14-05-2025","1,267.00","1,267.00","1,267.00","1,267.00","","-1.02%"
"13-05-2025","1,280.00","1,280.00","1,280.00","1,280.00","","-1.84%"
"12-05-2025","1,304.00","1,304.00","1,304.00","1,304.00","","0.38%"
"09-05-2025","1,299.00","1,299.00","1,299.00","1,299.00","","-1.29%"
